요일,기상상태,도로형태,노면상태,사고유형,주소,연휴,년도,월,일,시간,설치장소,설치개수,CCTV설치대수,급지구분_1,급지구분_2,급지구분_3
월요일,맑음,단일로 - 기타,건조,차대차,달서구 송현동,0,2022,1,3,13,17.0,1365.0,0.0,0.0,7.0,7.0
월요일,맑음,단일로 - 기타,건조,차대사람,달서구 진천동,0,2022,1,3,13,9.0,627.0,0.0,0.0,1.0,3.0
월요일,맑음,단일로 - 기타,건조,차대차,북구 고성동3가,0,2022,1,3,13,1.0,129.0,0.0,6.0,0.0,0.0
월요일,맑음,단일로 - 기타,건조,차대사람,달서구 본리동,0,2022,1,3,13,11.0,258.0,0.0,0.0,3.0,1.0
월요일,맑음,단일로 - 기타,건조,차대사람,서구 평리동,0,2022,1,3,15,12.0,0.0,0.0,0.0,12.0,9.0
월요일,맑음,단일로 - 기타,건조,차대차,중구 남산동,0,2022,1,3,15,12.0,1474.0,61.0,12.0,0.0,0.0
월요일,맑음,교차로 - 교차로부근,건조,차대차,동구 지묘동,0,2022,1,3,17,5.0,169.0,0.0,0.0,0.0,0.0
월요일,맑음,기타 - 기타,건조,차대차,달성군 하빈면,0,2022,1,3,17,12.0,790.0,0.0,0.0,0.0,1.0
월요일,맑음,단일로 - 지하차도(도로)내,건조,차대사람,서구 내당동,0,2022,1,3,17,8.0,0.0,0.0,0.0,18.0,0.0
월요일,맑음,교차로 - 교차로안,건조,차대차,달서구 감삼동,0,2022,1,3,17,12.0,932.0,0.0,0.0,1.0,3.0
월요일,맑음,교차로 - 교차로안,건조,차대사람,달서구 감삼동,0,2022,1,3,17,12.0,932.0,0.0,0.0,1.0,3.0
월요일,맑음,교차로 - 교차로안,건조,차대차,수성구 매호동,0,2022,1,3,18,2.0,0.0,0.0,0.0,1.0,0.0
월요일,맑음,단일로 - 기타,건조,차량단독,달서구 감삼동,0,2022,1,3,18,12.0,932.0,0.0,0.0,1.0,3.0
월요일,맑음,교차로 - 교차로안,건조,차대사람,북구 침산동,0,2022,1,3,19,16.0,732.0,23.0,8.0,15.0,2.0
월요일,맑음,교차로 - 교차로안,건조,차대차,서구 평리동,0,2022,1,3,19,12.0,0.0,0.0,0.0,12.0,9.0
월요일,맑음,교차로 - 교차로부근,건조,차대차,동구 신천동,0,2022,1,3,20,11.0,1039.0,0.0,7.0,0.0,0.0
월요일,맑음,단일로 - 기타,건조,차량단독,동구 방촌동,0,2022,1,3,21,4.0,917.0,0.0,0.0,0.0,2.0
월요일,맑음,기타 - 기타,건조,차대차,달서구 성당동,0,2022,1,3,21,6.0,46.0,0.0,0.0,1.0,2.0
월요일,맑음,교차로 - 교차로횡단보도내,건조,차대사람,수성구 두산동,0,2022,1,3,23,4.0,473.0,0.0,0.0,0.0,0.0
화요일,맑음,교차로 - 교차로부근,건조,차량단독,서구 평리동,0,2022,1,4,1,12.0,0.0,0.0,0.0,12.0,9.0
화요일,맑음,단일로 - 고가도로위,건조,차대차,달서구 상인동,0,2022,1,4,7,30.0,843.0,0.0,0.0,0.0,5.0
화요일,맑음,단일로 - 기타,건조,차대차,달성군 구지면,0,2022,1,4,7,12.0,579.0,4.0,0.0,0.0,4.0
화요일,맑음,교차로 - 교차로안,건조,차대차,서구 내당동,0,2022,1,4,7,8.0,0.0,0.0,0.0,18.0,0.0
화요일,맑음,단일로 - 기타,건조,차대사람,남구 대명동,0,2022,1,4,8,62.0,5377.0,106.0,20.0,1.0,0.0
화요일,맑음,교차로 - 교차로안,건조,차대차,달서구 대천동,0,2022,1,4,8,7.0,108.0,0.0,0.0,0.0,0.0
화요일,맑음,교차로 - 교차로부근,건조,차대차,달서구 월성동,0,2022,1,4,8,22.0,164.0,0.0,0.0,1.0,0.0
화요일,맑음,교차로 - 교차로횡단보도내,건조,차대사람,달성군 화원읍,0,2022,1,4,9,39.0,940.0,18.0,0.0,0.0,14.0
화요일,맑음,단일로 - 기타,건조,차대차,북구 고성동2가,0,2022,1,4,9,0.0,84.0,2.0,2.0,0.0,0.0
화요일,맑음,단일로 - 기타,건조,차대사람,동구 율하동,0,2022,1,4,10,8.0,407.0,0.0,0.0,0.0,4.0
화요일,맑음,교차로 - 교차로부근,건조,차대차,동구 봉무동,0,2022,1,4,10,3.0,137.0,0.0,0.0,0.0,0.0
화요일,맑음,단일로 - 기타,건조,차대차,북구 동천동,0,2022,1,4,10,3.0,70.0,14.0,0.0,0.0,7.0
화요일,맑음,단일로 - 기타,건조,차대차,동구 미곡동,0,2022,1,4,11,1.0,69.0,0.0,0.0,0.0,0.0
화요일,맑음,단일로 - 기타,건조,차대차,남구 대명동,0,2022,1,4,12,62.0,5377.0,106.0,20.0,1.0,0.0
화요일,맑음,교차로 - 교차로안,건조,차대차,동구 신암동,0,2022,1,4,12,12.0,2064.0,0.0,0.0,1.0,0.0
화요일,맑음,교차로 - 교차로횡단보도내,건조,차대차,달서구 성당동,0,2022,1,4,12,6.0,46.0,0.0,0.0,1.0,2.0
화요일,맑음,교차로 - 교차로부근,건조,차대차,달서구 본리동,0,2022,1,4,12,11.0,258.0,0.0,0.0,3.0,1.0
화요일,맑음,교차로 - 교차로부근,건조,차대차,수성구 만촌동,0,2022,1,4,13,15.0,0.0,0.0,0.0,0.0,3.0
화요일,맑음,교차로 - 교차로부근,건조,차대차,달서구 신당동,0,2022,1,4,13,12.0,528.0,0.0,0.0,3.0,3.0
화요일,맑음,교차로 - 교차로안,건조,차대차,북구 서변동,0,2022,1,4,13,9.0,237.0,17.0,0.0,0.0,3.0
화요일,맑음,단일로 - 기타,건조,차대차,달서구 본동,0,2022,1,4,14,8.0,290.0,0.0,0.0,0.0,2.0
화요일,맑음,교차로 - 교차로부근,건조,차대차,달서구 송현동,0,2022,1,4,14,17.0,1365.0,0.0,0.0,7.0,7.0
화요일,맑음,기타 - 기타,건조,차대사람,달성군 다사읍,0,2022,1,4,14,52.0,876.0,4.0,0.0,0.0,2.0
화요일,맑음,교차로 - 교차로부근,건조,차대차,달성군 다사읍,0,2022,1,4,14,52.0,876.0,4.0,0.0,0.0,2.0
화요일,맑음,단일로 - 기타,건조,차대차,달성군 다사읍,0,2022,1,4,14,52.0,876.0,4.0,0.0,0.0,2.0
화요일,맑음,단일로 - 기타,건조,차대차,남구 봉덕동,0,2022,1,4,16,24.0,1424.0,34.0,9.0,3.0,0.0
화요일,맑음,교차로 - 교차로부근,건조,차대사람,북구 대현동,0,2022,1,4,17,4.0,332.0,9.0,8.0,9.0,0.0
화요일,맑음,교차로 - 교차로횡단보도내,건조,차대차,서구 비산동,0,2022,1,4,19,14.0,0.0,0.0,6.0,30.0,13.0
화요일,맑음,교차로 - 교차로안,건조,차대사람,동구 불로동,0,2022,1,4,20,0.0,622.0,0.0,0.0,0.0,2.0
화요일,맑음,단일로 - 기타,건조,차대차,달서구 신당동,0,2022,1,4,20,12.0,528.0,0.0,0.0,3.0,3.0
화요일,맑음,단일로 - 기타,건조,차대차,수성구 상동,0,2022,1,4,21,4.0,700.0,0.0,0.0,0.0,0.0
화요일,맑음,교차로 - 교차로안,건조,차대차,서구 내당동,0,2022,1,4,21,8.0,0.0,0.0,0.0,18.0,0.0
화요일,흐림,단일로 - 기타,건조,차대차,달서구 두류동,0,2022,1,4,21,12.0,1290.0,0.0,0.0,3.0,3.0
화요일,맑음,단일로 - 기타,건조,차대차,서구 비산동,0,2022,1,4,23,14.0,0.0,0.0,6.0,30.0,13.0
수요일,맑음,단일로 - 기타,건조,차대차,달서구 신당동,0,2022,1,5,6,12.0,528.0,0.0,0.0,3.0,3.0
수요일,맑음,단일로 - 기타,건조,차대차,수성구 황금동,0,2022,1,5,7,9.0,0.0,0.0,0.0,2.0,1.0
수요일,맑음,단일로 - 기타,건조,차대차,북구 산격동,0,2022,1,5,7,12.0,968.0,34.0,0.0,29.0,13.0
수요일,맑음,단일로 - 기타,건조,차대차,달서구 용산동,0,2022,1,5,7,33.0,480.0,0.0,0.0,2.0,2.0
수요일,맑음,단일로 - 기타,건조,차대차,달성군 다사읍,0,2022,1,5,8,52.0,876.0,4.0,0.0,0.0,2.0
수요일,맑음,단일로 - 기타,건조,차대차,수성구 만촌동,0,2022,1,5,9,15.0,0.0,0.0,0.0,0.0,3.0
수요일,흐림,교차로 - 교차로안,건조,차대차,서구 중리동,0,2022,1,5,10,8.0,0.0,0.0,0.0,0.0,11.0
수요일,맑음,단일로 - 기타,건조,차대차,달서구 용산동,0,2022,1,5,10,33.0,480.0,0.0,0.0,2.0,2.0
수요일,맑음,단일로 - 지하차도(도로)내,건조,차대차,동구 불로동,0,2022,1,5,11,0.0,622.0,0.0,0.0,0.0,2.0
수요일,맑음,단일로 - 기타,건조,차대사람,달서구 진천동,0,2022,1,5,11,9.0,627.0,0.0,0.0,1.0,3.0
수요일,맑음,단일로 - 기타,건조,차대차,남구 대명동,0,2022,1,5,12,62.0,5377.0,106.0,20.0,1.0,0.0
수요일,맑음,교차로 - 교차로안,건조,차대차,달서구 성당동,0,2022,1,5,12,6.0,46.0,0.0,0.0,1.0,2.0
수요일,맑음,단일로 - 기타,건조,차대차,수성구 상동,0,2022,1,5,16,4.0,700.0,0.0,0.0,0.0,0.0
수요일,맑음,단일로 - 기타,건조,차대차,북구 팔달동,0,2022,1,5,17,6.0,131.0,6.0,0.0,0.0,1.0
수요일,맑음,교차로 - 교차로횡단보도내,건조,차대사람,동구 효목동,0,2022,1,5,19,4.0,1164.0,0.0,0.0,0.0,0.0
수요일,맑음,단일로 - 기타,건조,차대차,수성구 황금동,0,2022,1,5,19,9.0,0.0,0.0,0.0,2.0,1.0
수요일,맑음,단일로 - 기타,건조,차대사람,서구 평리동,0,2022,1,5,21,12.0,0.0,0.0,0.0,12.0,9.0
수요일,맑음,교차로 - 교차로부근,건조,차대차,중구 삼덕동2가,0,2022,1,5,22,3.0,150.0,9.0,16.0,0.0,0.0
목요일,맑음,단일로 - 기타,건조,차대차,중구 서성로2가,0,2022,1,6,2,1.0,2.0,0.0,1.0,0.0,0.0
목요일,맑음,교차로 - 교차로부근,건조,차량단독,남구 봉덕동,0,2022,1,6,5,24.0,1424.0,34.0,9.0,3.0,0.0
목요일,맑음,단일로 - 기타,건조,차대차,수성구 만촌동,0,2022,1,6,8,15.0,0.0,0.0,0.0,0.0,3.0
목요일,맑음,단일로 - 기타,건조,차대차,달서구 용산동,0,2022,1,6,8,33.0,480.0,0.0,0.0,2.0,2.0
목요일,맑음,단일로 - 기타,건조,차대차,수성구 지산동,0,2022,1,6,9,7.0,0.0,0.0,0.0,0.0,2.0
목요일,맑음,단일로 - 기타,건조,차대사람,수성구 지산동,0,2022,1,6,10,7.0,0.0,0.0,0.0,0.0,2.0
목요일,맑음,교차로 - 교차로안,건조,차대차,북구 칠성동1가,0,2022,1,6,12,2.0,79.0,0.0,11.0,0.0,0.0
목요일,맑음,단일로 - 기타,건조,차대차,서구 중리동,0,2022,1,6,12,8.0,0.0,0.0,0.0,0.0,11.0
목요일,맑음,단일로 - 기타,건조,차대차,서구 내당동,0,2022,1,6,12,8.0,0.0,0.0,0.0,18.0,0.0
목요일,맑음,교차로 - 교차로안,건조,차대차,북구 매천동,0,2022,1,6,13,3.0,138.0,14.0,0.0,0.0,0.0
목요일,맑음,단일로 - 기타,건조,차대사람,수성구 범어동,0,2022,1,6,14,12.0,0.0,0.0,1.0,3.0,0.0
목요일,맑음,교차로 - 교차로부근,건조,차대차,수성구 신매동,0,2022,1,6,14,11.0,0.0,0.0,0.0,2.0,1.0
목요일,맑음,교차로 - 교차로안,건조,차대차,동구 신천동,0,2022,1,6,15,11.0,1039.0,0.0,7.0,0.0,0.0
목요일,맑음,단일로 - 기타,건조,차대사람,남구 대명동,0,2022,1,6,17,62.0,5377.0,106.0,20.0,1.0,0.0
목요일,맑음,단일로 - 기타,건조,차대차,수성구 매호동,0,2022,1,6,17,2.0,0.0,0.0,0.0,1.0,0.0
목요일,맑음,교차로 - 교차로부근,건조,차대사람,달서구 월성동,0,2022,1,6,17,22.0,164.0,0.0,0.0,1.0,0.0
목요일,맑음,단일로 - 기타,건조,차대차,달성군 유가읍,0,2022,1,6,17,16.0,454.0,0.0,0.0,0.0,2.0
목요일,맑음,교차로 - 교차로안,건조,차대차,북구 산격동,0,2022,1,6,17,12.0,968.0,34.0,0.0,29.0,13.0
목요일,맑음,단일로 - 기타,건조,차대차,동구 율하동,0,2022,1,6,18,8.0,407.0,0.0,0.0,0.0,4.0
목요일,맑음,단일로 - 기타,건조,차대사람,달성군 화원읍,0,2022,1,6,18,39.0,940.0,18.0,0.0,0.0,14.0
목요일,맑음,단일로 - 기타,건조,차대차,서구 비산동,0,2022,1,6,18,14.0,0.0,0.0,6.0,30.0,13.0
목요일,맑음,교차로 - 교차로안,건조,차대차,달서구 본리동,0,2022,1,6,18,11.0,258.0,0.0,0.0,3.0,1.0
목요일,맑음,교차로 - 교차로부근,건조,차대차,수성구 연호동,0,2022,1,6,19,0.0,0.0,0.0,0.0,0.0,0.0
목요일,맑음,기타 - 기타,건조,차대사람,달성군 현풍읍,0,2022,1,6,19,15.0,0.0,0.0,0.0,0.0,0.0
목요일,맑음,단일로 - 기타,건조,차대차,달서구 본동,0,2022,1,6,20,8.0,290.0,0.0,0.0,0.0,2.0
목요일,맑음,교차로 - 교차로부근,건조,차대차,서구 평리동,0,2022,1,6,20,12.0,0.0,0.0,0.0,12.0,9.0
목요일,맑음,교차로 - 교차로안,건조,차대차,북구 관음동,0,2022,1,6,20,2.0,217.0,22.0,0.0,14.0,1.0
목요일,맑음,교차로 - 교차로안,건조,차대차,남구 대명동,0,2022,1,6,21,62.0,5377.0,106.0,20.0,1.0,0.0
목요일,맑음,기타 - 기타,건조,차대차,달서구 상인동,0,2022,1,6,21,30.0,843.0,0.0,0.0,0.0,5.0
금요일,맑음,교차로 - 교차로안,건조,차대차,수성구 시지동,0,2022,1,7,7,4.0,0.0,0.0,0.0,0.0,0.0
금요일,맑음,단일로 - 기타,건조,차대사람,수성구 범물동,0,2022,1,7,8,7.0,0.0,0.0,0.0,0.0,0.0
금요일,맑음,기타 - 기타,건조,차대사람,수성구 수성동2가,0,2022,1,7,10,1.0,0.0,0.0,0.0,0.0,0.0
금요일,맑음,단일로 - 기타,건조,차대사람,달서구 호산동,0,2022,1,7,10,10.0,213.0,0.0,0.0,0.0,1.0
금요일,맑음,단일로 - 지하차도(도로)내,건조,차대차,북구 관음동,0,2022,1,7,10,2.0,217.0,22.0,0.0,14.0,1.0
금요일,맑음,단일로 - 지하차도(도로)내,건조,차대차,동구 신천동,0,2022,1,7,11,11.0,1039.0,0.0,7.0,0.0,0.0
금요일,맑음,교차로 - 교차로부근,건조,차대차,중구 동인동4가,0,2022,1,7,11,2.0,208.0,12.0,4.0,0.0,0.0
금요일,맑음,교차로 - 교차로안,건조,차대차,중구 태평로3가,0,2022,1,7,11,1.0,47.0,0.0,1.0,0.0,0.0
금요일,맑음,단일로 - 기타,건조,차대차,달서구 이곡동,0,2022,1,7,11,23.0,404.0,0.0,0.0,1.0,1.0
금요일,맑음,교차로 - 교차로안,건조,차대차,북구 구암동,0,2022,1,7,11,11.0,273.0,36.0,0.0,0.0,7.0
금요일,맑음,단일로 - 기타,건조,차대사람,달서구 송현동,0,2022,1,7,12,17.0,1365.0,0.0,0.0,7.0,7.0
금요일,맑음,교차로 - 교차로부근,기타,차량단독,서구 평리동,0,2022,1,7,12,12.0,0.0,0.0,0.0,12.0,9.0
금요일,맑음,교차로 - 교차로안,건조,차대차,달서구 월성동,0,2022,1,7,13,22.0,164.0,0.0,0.0,1.0,0.0
금요일,맑음,교차로 - 교차로부근,건조,차대차,북구 산격동,0,2022,1,7,13,12.0,968.0,34.0,0.0,29.0,13.0
금요일,맑음,교차로 - 교차로부근,건조,차대차,북구 국우동,0,2022,1,7,13,6.0,174.0,16.0,0.0,0.0,0.0
금요일,맑음,교차로 - 교차로안,건조,차대차,북구 노원동3가,0,2022,1,7,14,2.0,671.0,0.0,0.0,15.0,14.0
금요일,맑음,기타 - 기타,건조,차대차,수성구 만촌동,0,2022,1,7,15,15.0,0.0,0.0,0.0,0.0,3.0
금요일,맑음,단일로 - 기타,건조,차대차,중구 대봉동,0,2022,1,7,15,3.0,637.0,0.0,5.0,0.0,0.0
금요일,맑음,단일로 - 기타,건조,차대차,달서구 용산동,0,2022,1,7,15,33.0,480.0,0.0,0.0,2.0,2.0
금요일,맑음,단일로 - 기타,건조,차대차,북구 조야동,0,2022,1,7,16,1.0,133.0,5.0,0.0,0.0,1.0
금요일,맑음,단일로 - 기타,건조,차대차,수성구 삼덕동,0,2022,1,7,16,1.0,0.0,0.0,0.0,0.0,1.0
금요일,맑음,단일로 - 기타,건조,차대사람,서구 비산동,0,2022,1,7,16,14.0,0.0,0.0,6.0,30.0,13.0
금요일,맑음,단일로 - 기타,건조,차대차,달성군 논공읍,0,2022,1,7,17,18.0,1153.0,4.0,0.0,0.0,29.0
금요일,흐림,교차로 - 교차로부근,건조,차대사람,중구 봉산동,0,2022,1,7,18,4.0,214.0,18.0,11.0,0.0,0.0
금요일,맑음,단일로 - 기타,건조,차대차,달서구 감삼동,0,2022,1,7,18,12.0,932.0,0.0,0.0,1.0,3.0
금요일,맑음,단일로 - 기타,건조,차대차,수성구 시지동,0,2022,1,7,19,4.0,0.0,0.0,0.0,0.0,0.0
금요일,맑음,교차로 - 교차로부근,건조,차대차,북구 복현동,0,2022,1,7,19,10.0,534.0,32.0,0.0,9.0,5.0
금요일,맑음,교차로 - 교차로안,건조,차대사람,중구 남산동,0,2022,1,7,19,12.0,1474.0,61.0,12.0,0.0,0.0
금요일,맑음,교차로 - 교차로안,건조,차대차,동구 신천동,0,2022,1,7,21,11.0,1039.0,0.0,7.0,0.0,0.0
금요일,맑음,교차로 - 교차로안,건조,차대사람,달서구 성당동,0,2022,1,7,21,6.0,46.0,0.0,0.0,1.0,2.0
토요일,맑음,단일로 - 기타,건조,차대차,달서구 장기동,1,2022,1,8,1,11.0,335.0,0.0,0.0,2.0,1.0
토요일,맑음,단일로 - 기타,건조,차대사람,중구 동인동4가,1,2022,1,8,5,2.0,208.0,12.0,4.0,0.0,0.0
토요일,맑음,교차로 - 교차로안,건조,차대차,수성구 지산동,1,2022,1,8,6,7.0,0.0,0.0,0.0,0.0,2.0
토요일,맑음,단일로 - 기타,건조,차대차,북구 노원동3가,1,2022,1,8,9,2.0,671.0,0.0,0.0,15.0,14.0
토요일,맑음,교차로 - 교차로부근,건조,차대차,수성구 범어동,1,2022,1,8,11,12.0,0.0,0.0,1.0,3.0,0.0
토요일,맑음,단일로 - 기타,건조,차대차,북구 침산동,1,2022,1,8,12,16.0,732.0,23.0,8.0,15.0,2.0
토요일,맑음,기타 - 기타,건조,차대차,달서구 감삼동,1,2022,1,8,13,12.0,932.0,0.0,0.0,1.0,3.0
토요일,맑음,단일로 - 기타,건조,차대차,북구 동변동,1,2022,1,8,13,1.0,123.0,10.0,0.0,0.0,1.0
토요일,맑음,단일로 - 기타,건조,차대차,수성구 대흥동,1,2022,1,8,14,0.0,0.0,0.0,0.0,0.0,0.0
토요일,맑음,교차로 - 교차로안,건조,차대차,남구 봉덕동,1,2022,1,8,14,24.0,1424.0,34.0,9.0,3.0,0.0
토요일,맑음,단일로 - 기타,건조,차대사람,서구 비산동,1,2022,1,8,14,14.0,0.0,0.0,6.0,30.0,13.0
토요일,맑음,교차로 - 교차로부근,건조,차대차,북구 읍내동,1,2022,1,8,14,7.0,369.0,49.0,0.0,13.0,2.0
토요일,맑음,단일로 - 교량,건조,차대차,북구 금호동,1,2022,1,8,15,3.0,28.0,0.0,0.0,0.0,0.0
토요일,맑음,단일로 - 기타,건조,차대차,서구 이현동,1,2022,1,8,16,3.0,0.0,0.0,0.0,0.0,1.0
토요일,맑음,교차로 - 교차로안,건조,차대차,서구 평리동,1,2022,1,8,16,12.0,0.0,0.0,0.0,12.0,9.0
